CASEID	COMPLETE	SCHL_ID	SCHL_PSU	DIST_ID	DIVISION	SCHL_WT	DIST_WT	A1	A1B_G6	A1B_G7	A1B_G8	A1B_G9	A1B_G10	A2	A3	A4A	A4B	A4C	A4D	A4E	A4F	A4G	A4H	A4I	A5	A6A	A6B	A6C	A7	A8A	A8B	A8C	A9	A10A_CAT	A10B_CAT	A10C_CAT	A10A_COMP	A10B_COMP	A10AB_COMP	A11A_CAT	A11B_CAT	A11C_CAT	A11A_COMP	A11B_COMP	A11AB_COMP	A12	A13A	A13B	A13C	A13D	A14A	A14B	A14C	A14D	A15	A16A	A16B	A16C	A16D	A16E	A16F	A16G	A16H	A16I	A17	A18	A19	A20A	A20B	A20C	A20D	A21A	A21B	A21C	A22	A23	A24_G6	A24_G7	A24_G8	A24_G9	A24_G10	A25A	A25B	A25C	A25D	A25E	A25F	A25G	A25H	A25I	A25J	A25K	A25L	A25M	A25N	A25O	A25P	A26
159	1	59	5	9199	8	733.853990572342	2.74070976438042	2	4	-9	-9	-9	-9	2	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	2	1	2	1	2	2	2	1	2	1	1	6	1	1	1	1	-9	1	4	-9	-9	2	2	2	2	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	2	5	1	1	2	2	1	2	2	1	2	2	2	-9	-9	-9	-9	1	2	1	2	2	2	2	1	1	1	2	2	2	1	1	1	1
160	1	97	5	6266	1	200.174	10.1751	2	4	4	4	-9	-9	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	8	5	7	3	2	3	4	3	2	5	5	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	3	2	1	2	2	2	2	1	1	2	5	4	4	4	-9	-9	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	4
161	0	80	5	7108	9	524.734092113574	115.386554286754	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
162	1	29	5	7280	9	140.34319669546	2.02527475503663	1	-8	-8	-8	-8	-8	2	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	2	1	2	1	2	2	2	1	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	1	1	2	2	5	1	2	2	2	2	2	2	-9	2	5	6	6	6	-9	-9	2	2	2	1	1	2	2	2	2	1	1	1	1	1	1	1	1
163	1	18	4	3100	7	119.893343757389	14.7102971563652	2	3	-9	-9	-9	-9	2	2	1	2	2	2	1	2	2	1	2	2	1	2	1	2	1	2	1	1	9	4	1	6	6	6	5	2	1	6	6	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	4	2	1	2	2	1	2	2	1	2	5	2	2	2	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4
164	1	165	5	8279	3	124.758191086266	6.34888601721588	2	-9	-9	-9	-9	4	1	2	2	2	2	2	1	1	2	1	1	2	-9	2	1	2	2	-9	2	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	2	2	1	1	2	1	2	2	1	2	1	1	1	1	1	2	2	-9	1	1	2	2	1	2	2	-9	2	5	-9	-9	-9	-9	3	2	2	2	2	2	2	2	-9	2	2	2	2	2	2	2	1	4
165	0	199	6	7330	9	98.9790793956757	1.28625944374007	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
166	1	108	5	7564	9	71.7749532066077	8.22788251808477	2	3	3	3	-9	-9	2	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	2	1	2	1	2	2	2	2	1	9	0	0	-9	-9	-9	9	0	0	-9	-9	-9	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	-9	1	2	2	2	2	2	2	1	2	-9	3	3	3	-9	-9	1	2	1	2	1	2	2	1	1	1	2	1	1	1	1	1	2
167	1	34	5	9159	8	102.763608874857	6.23629658276007	2	-9	-9	-9	4	1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	6	3	4	4	2	4	3	1	1	5	2	5	2	2	2	2	2	1	1	1	1	2	2	1	2	1	1	1	1	1	2	2	4	1	1	1	1	1	-9	-9	2	2	5	-9	-9	-9	3	1	1	2	1	2	2	2	2	1	1	1	2	2	1	2	2	1	2
168	1	219	5	1049	6	107.688215539187	34.9103123382229	2	2	2	2	2	2	2	2	2	2	2	2	-9	2	2	2	2	2	1	1	2	2	2	2	2	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	2	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	2	5	1	2	2	2	1	2	1	-9	2	5	1	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	4
169	1	148	5	9070	8	178.810443050125	58.9556170926135	2	6	6	6	-9	-9	2	2	1	1	1	1	1	2	1	2	2	1	-8	-8	-8	2	2	2	1	2	2	1	2	2	2	3	-8	-8	-8	-8	-8	-8	2	-9	-9	-9	-9	2	1	1	2	-9	2	2	2	1	1	1	1	1	1	2	1	1	2	2	2	2	2	2	1	2	5	2	1	2	-9	-9	1	2	1	2	2	2	2	2	2	1	2	2	2	2	2	1	4
170	1	38	5	9041	8	126.211145025654	18.9700727107525	2	-9	6	6	6	-9	2	2	2	2	2	1	1	1	2	1	2	2	1	2	2	2	1	2	1	1	8	0	0	-9	-9	-9	4	0	0	-9	-9	-9	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	1	1	2	2	5	1	2	2	2	1	2	2	1	2	5	-9	6	6	6	-9	1	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	4
171	1	164	5	5553	5	68.784689800352	3.02811028582654	2	-9	-9	-9	6	6	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	9	6	4	5	5	5	9	6	5	5	5	5	1	-8	-8	-8	-8	2	2	1	1	1	2	2	2	2	2	1	1	1	2	1	-8	1	1	2	2	1	2	1	1	2	5	-9	-9	-9	6	1	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	4
172	1	109	4	3100	7	105.643055458991	14.7102971563652	2	5	-9	-9	-9	-9	2	2	1	1	1	2	2	2	1	2	2	2	1	2	1	2	1	2	1	1	8	-9	-9	-9	-9	-9	4	-9	-9	-9	-9	-9	2	2	2	2	2	2	1	1	1	2	2	2	2	1	1	1	1	-9	-9	2	5	1	1	2	2	1	2	2	1	2	5	2	-9	-9	-9	-9	1	1	1	1	2	1	1	1	1	1	1	2	2	2	2	1	2
173	1	31	2	5553	5	152.75609713526	9.38315266880143	1	-8	-8	-8	-8	-8	2	2	1	1	1	1	1	1	2	2	2	2	2	2	1	2	2	2	1	2	9	4	1	6	6	6	9	4	1	6	6	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	1	-8	1	1	1	1	1	2	1	1	2	5	4	4	4	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4
174	1	11	5	3161	7	258.810315116487	37.5590579254413	2	2	2	2	4	1	1	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	9	6	9	2	1	2	-9	-9	-9	-9	-9	-9	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	1	1	1	1	2	5	2	1	2	2	1	2	2	1	2	5	2	2	2	1	4	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	4
175	1	207	4	7564	9	94.9475100443097	8.22788251808477	2	4	4	4	-9	-9	2	2	1	1	1	1	1	1	2	2	2	2	1	2	1	2	1	2	1	1	9	6	7	4	3	5	9	6	6	4	3	5	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	1	1	1	2	2	5	1	2	2	2	2	2	2	-9	2	5	1	1	4	-9	-9	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	2
176	0	151	5	8166	3	203.870915904865	66.721390659774	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
177	1	220	4	9080	8	332.486656921178	1.75427823885293	2	3	-9	-9	-9	-9	1	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	2	1	2	2	2	1	2	2	1	9	0	1	6	0	6	9	0	2	6	0	6	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	1	2	5	2	-9	-9	-9	-9	1	2	1	2	2	2	2	2	2	1	2	2	1	2	2	2	3
178	0	19	5	9089	8	578.251706671559	9.36537232566063	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
179	1	104	5	2230	4	78.2264151675239	2.92334008238497	-9	-8	-8	-8	-8	-8	-9	-9	-8	-8	-8	-8	-8	-8	-8	-8	-8	-9	-8	-8	-8	-9	-8	-8	-8	-9	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-9	-8	-8	-8	-8	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-8	-9	-9	-9	-9	-9	-9	-9	-9	-9	-8	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
180	0	190	5	3351	7	131.053939104591	2.28438090140628	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
181	1	128	5	7330	9	70.7306094975355	1.59399246923505	2	-9	-9	-9	2	3	1	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	9	6	9	2	1	2	6	4	4	4	4	5	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	2	2	2	5	1	2	2	2	1	2	2	-9	2	5	-9	-9	-9	3	-9	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2
182	1	140	5	7399	9	80.5924274012369	2.75581719352456	2	6	6	1	-9	-9	2	2	1	1	1	2	1	2	2	1	2	2	2	2	1	2	2	2	1	1	9	-9	-9	-9	-9	-9	9	-9	-9	-9	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1	1	2	2	5	2	2	2	2	2	2	1	1	2	5	6	6	1	-9	-9	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	4
183	1	30	5	4135	2	139.751960337594	17.5994613971371	-9	-8	-8	-8	-8	-8	-9	-9	-8	-8	-8	-8	-8	-8	-8	-8	-8	-9	-8	-8	-8	-9	-8	-8	-8	-9	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	2	2	2	2	2	2	1	1	2	2	2	2	2	1	2	1	1	1	1	2	4	1	2	2	2	1	2	1	-9	2	5	-9	3	3	-9	-9	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	4
184	1	102	5	3017	7	50.1827254091421	1.01930875713987	2	-9	-9	-9	6	6	2	2	2	2	2	2	1	2	2	2	2	1	-8	-8	-8	2	2	2	2	2	5	6	9	1	1	1	-8	-8	-8	-8	-8	-8	2	2	2	2	2	2	1	1	2	2	2	1	2	1	1	1	1	1	2	2	5	1	-9	-9	-9	-9	-9	-9	-9	2	5	-9	-9	-9	-9	4	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2
185	1	87	5	9199	8	133.275887648453	2.74070976438042	2	-9	-9	-9	-9	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	1	2	4	1	1	1	1	2	0	-9	-9	-9	2	2	2	2	2	1	1	1	2	2	2	1	1	1	1	1	1	1	2	2	4	1	1	1	2	1	2	2	1	2	5	-9	-9	-9	-9	3	2	2	2	2	2	2	2	1	1	2	2	1	1	1	1	2	3
186	1	84	5	2047	4	279.61670243422	26.6957536689485	2	4	4	4	4	4	2	2	1	1	1	2	2	2	1	1	2	2	1	2	1	2	2	2	2	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-8	-8	-8	-8	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-8	-9	-9	-9	-9	-9	-9	-9	-9	-9	-8	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
187	1	71	5	8032	3	167.869091640442	7.91898382141418	1	-8	-8	-8	-8	-8	2	2	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	2	1	1	4	6	7	1	5	3	4	6	6	1	5	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	4	2	2	2	2	1	2	2	1	2	5	3	3	3	-9	-9	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	4
188	1	203	5	7339	9	422.391521449893	21.9280752498731	2	6	1	1	-9	-9	2	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	2	2	2	2	2	2	2	2	1	8	0	0	-9	-9	-9	8	0	0	-9	-9	-9	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	5	1	2	2	2	1	2	2	1	2	5	6	1	1	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1
189	0	99	5	2047	4	1043.153399669	26.6957536689485	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
190	1	142	5	1068	6	91.8859025569041	13.8086302874614	2	3	3	3	-9	-9	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	7	4	9	2	1	2	5	4	6	2	1	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	1	1	1	2	2	5	2	1	1	2	2	2	1	1	2	5	2	2	2	-9	-9	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	1
191	1	111	5	5525	5	144.423713901404	5.07956235346669	2	6	-9	-9	-9	-9	-9	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	1	2	2	2	1	2	2	2	2	2	2	2	1	1	1	1	2	2	5	1	1	1	1	1	2	2	1	2	5	1	1	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1
192	1	17	5	7399	9	69.9121390939775	2.75581719352456	2	-9	-9	-9	-9	-9	-9	2	1	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	5	1	2	2	2	2	2	2	2	2	5	-9	-9	-9	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
193	1	7	4	6100	1	327.130964252823	6.83955611135428	2	2	2	2	-9	-9	2	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	1	-8	-8	-8	2	2	1	2	2	0	0	0	-9	-9	-9	-8	-8	-8	-8	-8	-8	2	2	1	2	1	1	1	1	1	1	2	2	2	1	2	2	1	1	1	1	-8	1	2	2	2	1	2	1	1	2	5	2	2	2	-9	-9	2	2	1	1	2	2	2	1	1	1	2	2	2	1	2	1	4
194	1	181	5	7222	9	74.3340544750432	4.84806115118242	2	-9	-9	-9	6	6	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	9	6	9	1	1	2	9	6	6	1	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	2	2	5	1	1	2	2	1	2	2	1	2	5	-9	-9	-9	6	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4
195	1	48	5	4135	2	134.504358289368	17.5994613971371	2	-9	-9	-9	4	4	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	1	1	7	1	1	6	2	6	4	1	1	6	3	6	2	2	2	2	2	2	1	1	1	2	2	2	2	1	1	1	1	1	2	2	4	1	1	1	1	1	2	2	1	2	5	-9	-9	-9	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	2	4
196	1	145	5	4504	2	921.857657528113	13.8074354940784	2	-9	4	4	6	1	2	2	2	2	2	2	1	2	2	2	2	2	1	2	1	2	1	2	2	1	4	2	4	2	1	3	2	1	1	4	3	5	2	2	2	2	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	2	5	1	2	2	2	1	2	1	1	2	5	-9	3	3	3	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
197	1	224	4	2050	4	227.030195376957	40.1198600855753	2	6	6	6	-9	-9	2	2	1	2	1	2	1	2	1	2	2	2	1	2	1	2	1	2	1	1	5	2	2	5	2	5	5	2	2	6	4	6	2	2	2	2	2	1	1	1	1	2	2	2	2	2	1	2	1	2	1	2	1	1	1	2	2	1	2	2	-9	1	-8	6	6	6	-9	-9	2	2	2	2	2	2	2	1	1	1	2	1	1	1	1	1	2
198	1	168	4	7330	9	77.6410931337317	1.28625944374007	2	-9	-9	1	6	6	2	2	2	2	2	2	2	2	2	2	2	2	-9	-9	-9	2	-9	-9	-9	1	9	6	6	5	5	6	9	6	6	5	5	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	5	2	2	1	1	1	-9	-9	2	2	5	-9	-9	-9	6	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4
199	1	105	5	3100	7	81.7469530037288	14.7102971563652	2	-9	-9	-9	6	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	8	4	9	1	1	2	1	1	3	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	1	1	1	1	2	2	5	2	1	2	2	1	2	-9	-9	2	4	-9	-9	-9	4	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
200	0	115	5	7280	9	403.956989350212	12.0857485481024	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
201	1	86	4	5626	5	110.616222593873	24.7592223848021	2	-9	-9	-9	3	3	1	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	7	5	7	2	2	3	4	3	2	5	6	6	2	2	2	2	2	1	1	1	1	2	2	2	2	2	1	1	1	2	2	2	5	1	2	2	2	2	2	1	1	2	5	-9	-9	-9	3	3	2	2	1	2	2	2	2	1	1	1	2	2	2	2	2	2	3
202	1	191	2	1004	6	3760.98395721925	56	2	-9	-9	-9	6	6	2	2	2	2	2	2	1	2	2	2	2	2	1	2	1	2	2	2	1	1	8	0	0	-9	-9	-9	4	0	0	-9	-9	-9	2	2	2	2	2	1	1	1	1	2	2	2	2	1	1	2	2	1	2	2	5	1	2	2	2	1	2	2	1	2	5	-9	-9	-9	-9	4	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1
203	1	15	5	7222	9	203.240183089081	4.84806115118242	1	-8	-8	-8	-8	-8	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	4	2	3	6	5	2	4	1	4	6	5	2	2	2	2	2	1	1	2	2	2	2	1	2	1	1	1	1	1	2	1	-8	1	1	1	1	1	2	1	1	2	5	-9	-9	-9	-9	1	1	2	1	2	2	2	1	1	1	1	1	2	2	1	1	2	4
204	1	72	5	7339	9	362.922697811143	21.9280752498731	2	-9	6	6	1	-9	2	2	1	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	7	3	3	5	3	5	3	1	2	5	2	5	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	1	2	2	5	1	2	2	2	2	2	1	1	2	5	-9	1	1	1	-9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4
205	1	52	5	4282	2	79.1726757667448	6.1768952445046	2	6	6	6	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	6	6	9	1	1	1	4	4	4	3	4	4	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	1	1	1	2	2	5	1	2	2	2	1	2	2	-9	2	5	3	3	3	-9	-9	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	4
206	1	135	4	6037	1	135.574935039605	12.8796188287625	2	6	6	6	-9	-9	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	1	5	2	5	2	1	3	3	1	1	6	2	6	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	1	1	2	2	2	5	1	2	2	2	1	2	2	-9	2	5	2	2	2	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
207	0	137	2	2208	4	571.510015267157	3.18302291384486	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
208	0	61	6	5626	5	176.549134439848	24.7592223848021	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
209	1	101	5	3162	7	337.405186968153	10.8287893639689	2	3	6	6	6	1	1	2	1	2	2	2	2	2	2	2	1	1	-8	-8	-8	2	2	2	2	1	4	5	9	1	2	1	-8	-8	-8	-8	-8	-8	2	2	1	2	2	2	2	2	1	2	2	2	2	1	1	1	1	1	2	2	5	2	1	2	2	2	2	2	-9	2	5	6	6	6	6	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4
210	1	65	5	7160	9	788.999706205927	81.0324022589871	2	6	6	6	-9	-9	1	2	2	2	2	2	1	1	2	1	2	2	1	2	1	2	1	2	1	1	4	3	2	4	3	4	4	3	3	4	3	4	2	2	2	2	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	-8	1	1	1	1	1	2	2	1	2	2	2	2	2	-9	-9	1	2	2	1	2	2	2	2	2	1	2	1	1	1	1	1	1
211	0	215	5	5074	5	338.557869445195	182.35196136454	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
212	1	153	4	3017	7	413.494907590831	5.84740273360771	2	2	2	2	-9	-9	2	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	1	-8	-8	-8	2	1	1	2	1	1	2	3	1	1	1	-8	-8	-8	-8	-8	-8	2	2	1	1	1	1	1	1	2	2	2	2	1	1	2	2	1	1	1	2	1	1	1	2	2	1	2	2	1	2	1	6	6	6	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1
213	1	171	4	4105	2	118.553329703386	77.9707028687938	2	-9	-9	-9	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	4	1	9	1	1	1	1	1	1	3	2	3	2	2	2	2	2	2	1	1	2	2	2	2	2	1	1	1	1	1	2	2	5	1	1	2	2	1	2	2	1	2	5	-9	-9	-9	1	6	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2
214	1	12	5	7536	9	99.5745040740905	1.79376041991419	1	-8	-8	-8	-8	-8	2	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	2	1	2	1	2	2	2	2	1	8	0	9	2	0	2	6	0	4	4	0	4	2	2	-9	2	2	2	1	1	1	2	2	2	2	1	2	1	1	2	2	2	-9	1	2	2	2	1	2	1	1	2	-9	-9	6	-9	-9	-9	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1
