CASEID	COMPLETE	SCHL_ID	SCHL_PSU	DIST_ID	DIVISION	SCHL_WT	DIST_WT	A1	A1B_G6	A1B_G7	A1B_G8	A1B_G9	A1B_G10	A2	A3	A4A	A4B	A4C	A4D	A4E	A4F	A4G	A4H	A4I	A5	A6A	A6B	A6C	A7	A8A	A8B	A8C	A9	A10A_CAT	A10B_CAT	A10C_CAT	A10A_COMP	A10B_COMP	A10AB_COMP	A11A_CAT	A11B_CAT	A11C_CAT	A11A_COMP	A11B_COMP	A11AB_COMP	A12	A13A	A13B	A13C	A13D	A14A	A14B	A14C	A14D	A15	A16A	A16B	A16C	A16D	A16E	A16F	A16G	A16H	A16I	A17	A18	A19	A20A	A20B	A20C	A20D	A21A	A21B	A21C	A22	A23	A24_G6	A24_G7	A24_G8	A24_G9	A24_G10	A25A	A25B	A25C	A25D	A25E	A25F	A25G	A25H	A25I	A25J	A25K	A25L	A25M	A25N	A25O	A25P	A26
129	1	204	5	7366	9	185.665795552092	6.4097527610331	2	-9	-9	-9	6	4	2	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	3	2	1	5	5	5	4	0	0	-9	-9	-9	2	2	2	2	2	2	1	1	1	2	2	1	2	2	1	1	2	1	2	2	5	1	2	2	2	1	2	1	2	2	5	-9	-9	-9	6	4	2	2	1	1	2	2	2	1	2	1	2	2	2	2	2	2	3
130	1	187	6	3538	7	5065.65241824458	8.88032487717827	2	2	2	2	-9	-9	2	1	-8	-8	-8	-8	-8	-8	-8	-8	-8	2	-9	2	2	2	-9	2	2	2	9	2	1	6	4	6	7	2	-9	-9	-9	-9	2	2	2	2	2	1	1	1	1	2	2	2	2	1	1	2	1	1	2	2	3	1	2	2	2	2	2	2	-9	2	5	1	1	1	-9	-9	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1
131	1	98	4	5047	5	404.091946383822	182.35196136454	2	4	4	4	-9	-9	2	2	1	1	1	2	1	2	1	2	2	2	1	2	1	2	1	2	1	1	7	4	7	2	1	3	3	1	1	5	4	6	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	2	5	1	2	2	2	2	2	1	1	2	5	3	3	3	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
132	0	159	5	1058	6	218.122442564173	4.97332306126098	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
133	1	127	5	3440	7	456.177211589816	18.6830257306409	2	4	4	4	-9	-9	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	4	6	1	2	1	1	1	4	1	1	1	1	-8	-8	-8	-8	2	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	2	1	1	2	5	1	1	6	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
134	0	174	4	8232	3	130.033920076965	15.3771455429706	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
135	1	216	4	5615	5	307.023891479281	16.9983486016898	2	4	4	-9	-9	-9	2	2	2	2	2	2	1	2	2	2	2	1	-8	-8	-8	2	2	2	1	1	4	3	9	1	1	1	-8	-8	-8	-8	-8	-8	2	2	1	2	2	1	2	2	2	2	2	2	2	1	2	1	1	1	2	2	2	1	2	2	2	2	2	2	1	2	5	4	4	-9	-9	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
136	1	112	5	9114	8	434.148873959695	30.0981120356936	2	-9	-9	-9	6	6	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	9	6	9	3	2	4	9	6	6	3	2	4	2	2	2	2	2	2	1	1	1	2	2	2	2	2	1	1	1	2	2	2	5	1	1	2	2	1	2	2	1	2	5	-9	-9	-9	4	1	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	1	2
137	1	163	5	7280	9	4903.11222256441	184.285539116886	2	3	3	3	-9	-9	2	2	1	1	1	2	2	1	1	2	2	2	1	1	2	2	1	1	2	1	0	6	3	0	6	5	0	5	3	0	6	4	2	2	2	2	2	1	1	1	1	2	2	2	2	2	1	2	1	1	1	2	5	1	2	2	2	1	2	1	1	2	2	2	2	2	-9	-9	1	2	2	2	2	2	2	1	1	1	2	2	2	2	2	1	2
138	1	218	5	9075	8	57.9459375478162	1.86768554707678	2	-9	-9	-9	6	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1	2	2	4	1	2	2	2	2	2	2	1	2	5	-9	-9	-9	-9	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4
